Epoch: 001, Train Loss: 0.37036991, Val loss: 0.3692, Test loss: 0.3692
Epoch: 002, Train Loss: 0.36920696, Val loss: 0.3684, Test loss: 0.3684
Epoch: 003, Train Loss: 0.36839640, Val loss: 0.3679, Test loss: 0.3679
Epoch: 004, Train Loss: 0.36785096, Val loss: 0.3675, Test loss: 0.3675
Epoch: 005, Train Loss: 0.36750448, Val loss: 0.3673, Test loss: 0.3673
Epoch: 006, Train Loss: 0.36730075, Val loss: 0.3672, Test loss: 0.3672
Epoch: 007, Train Loss: 0.36719155, Val loss: 0.3671, Test loss: 0.3671
Epoch: 008, Train Loss: 0.36713916, Val loss: 0.3671, Test loss: 0.3671
Epoch: 009, Train Loss: 0.36711705, Val loss: 0.3671, Test loss: 0.3671
Epoch: 010, Train Loss: 0.36710870, Val loss: 0.3671, Test loss: 0.3671
Epoch: 011, Train Loss: 0.36710578, Val loss: 0.3671, Test loss: 0.3671
Epoch: 012, Train Loss: 0.36710477, Val loss: 0.3671, Test loss: 0.3671
Epoch: 013, Train Loss: 0.36710513, Val loss: 0.3671, Test loss: 0.3671
Epoch: 014, Train Loss: 0.36710465, Val loss: 0.3671, Test loss: 0.3671
Epoch: 015, Train Loss: 0.36710465, Val loss: 0.3671, Test loss: 0.3671
Epoch: 016, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
Epoch: 017, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
Epoch: 018, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
Epoch: 019, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
Epoch: 020, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
Epoch: 021, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
Epoch: 022, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
Epoch: 023, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
Epoch: 024, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
Epoch: 025, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
Epoch: 026, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
Epoch: 027, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
Epoch: 028, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
Epoch: 029, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
Epoch: 030, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
Epoch: 031, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
Epoch: 032, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
Epoch: 033, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
Epoch: 034, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
Epoch: 035, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
Epoch: 036, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
Epoch: 037, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
Epoch: 038, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
Epoch: 039, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
Epoch: 040, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
Epoch: 041, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
Epoch: 042, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
Epoch: 043, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
Epoch: 044, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
Epoch: 045, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
Epoch: 046, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
Epoch: 047, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
Epoch: 048, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
Epoch: 049, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
Epoch: 050, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
Epoch: 051, Train Loss: 0.36710489, Val loss: 0.3671, Test loss: 0.3671
